職缺,公司名稱,地址,薪資,網址
程式設計師－新商機經營Team,統一集團_安源資訊股份有限公司,台北市內湖區,待遇面議,
JAVA工程師,昊盈資訊有限公司,台北市松山區,待遇面議,
網站後端工程師 Back-End Developer,藍星球資訊股份有限公司,台北市中山區,待遇面議,
【Java 後端軟體工程師】Java Backend Engineer,智鈦星平台服務有限公司,台北市信義區,待遇面議,
PHP工程師,昊盈資訊有限公司,台北市松山區,待遇面議,
【數據發展中心】PHP 工程師,遠見天下文化出版股份有限公司,台北市中山區,待遇面議,
後端系統開發工程師,馬來西亞商韋博科技有限公司台灣分公司,新北市板橋區,待遇面議,
後端工程師,順立智慧股份有限公司,台北市內湖區,"年薪700,000~1,300,000元",
Backend Developer 後端工程師,阿福股份有限公司,台北市信義區,"年薪1,000,000~1,400,000元",
後端工程師,那一間科技有限公司,高雄市苓雅區,"月薪40,000~60,000元",
後端工程師Junior Backend Engineer,慧穩科技股份有限公司,台中市西屯區,待遇面議,
後端工程師,康聯生醫科技股份有限公司,台北市中正區,待遇面議,
Backend Engineer | 後端工程師 (Moneybook 麻布記帳),麻布數據科技股份有限公司,台北市信義區,"年薪700,000~1,000,000元",
後端工程師,昇晉整合服務有限公司,新北市板橋區,"月薪35,000~60,000元",
後端應用工程師,東頂科技股份有限公司,桃園市楊梅區,待遇面議,
C#.Net 後端工程師,凡易股份有限公司,台北市大同區,"年薪630,000~1,100,000元",
後端工程師,方舟智慧股份有限公司,台北市大安區,待遇面議,
後端工程師 (JAVA),暘昇資訊有限公司,台北市松山區,待遇面議,
後端工程師 Backend Engineer,數字自由有限公司,台北市內湖區,"月薪35,000~130,000元",
後端測試工程師,格拉墨科技有限公司,台北市松山區,"月薪45,000~100,000元",
Backend Engineer後端工程師,艾普特媒體有限公司,台北市中山區,待遇面議,
後端工程師,凱納股份有限公司,台中市南屯區,待遇面議,
C#後端工程師,一路發集運網股份有限公司,新北市新莊區,待遇面議,
後端工程師,匯康資訊科技有限公司,高雄市苓雅區,"月薪30,000~50,000元",
後端工程師,興創知能股份有限公司,台北市中正區,"月薪48,000~80,000元",
資深後端工程師,代碼科技有限公司,台北市信義區,待遇面議,
後端工程師,于宸科技有限公司,台北市大安區,待遇面議,
後端軟體工程師,恒吉佳國際有限公司,台北市大安區,待遇面議,
遊戲後端工程師 Backend engineer,福威電競有限公司,台北市中正區,"月薪50,000~100,000元",
Golang後端工程師,有樂資訊有限公司,台北市信義區,"月薪60,000~120,000元",
F0100B12-後端工程師,易遊網股份有限公司,台北市中山區,待遇面議,
後端工程師 Backend Engineer,聚典資訊股份有限公司,台北市南港區,待遇面議,
後端工程師,東森新媒體控股股份有限公司,台北市大安區,待遇面議,
後端工程師 Backend Engineer,台灣歐西瑪股份有限公司,新北市土城區,待遇面議,
後端工程師 (Backend Engineer),開必拓數據股份有限公司,新竹市,待遇面議,
後端工程師,竣盟科技股份有限公司,台北市中山區,待遇面議,
後端工程師(Backend),冠釩科技股份有限公司,台北市中正區,"月薪60,000元以上",
Java後端工程師,萬達資訊服務有限公司,台北市大同區,待遇面議,
"【遠距面試優先】後端開發工程師 (熟 C#, .NET Core, .NET Framework)",日本NEC集團_統智科技股份有限公司,台北市內湖區,待遇面議,
後端工程師,六書堂數位學習股份有限公司,台中市南屯區,"年薪400,000~720,000元",
後端 C# 工程師,機鋒實業有限公司,台北市信義區,"月薪60,000元以上",
Backend Developer 後端開發工程師,健康益友股份有限公司,台北市大同區,"月薪50,000~90,000元",
後端工程師,奇點無限股份有限公司,台中市北區,待遇面議,
後端工程師,龎帝數位資訊有限公司,新北市新店區,"月薪50,000~130,000元",
購有錢 後端工程師 Backend Engineer,宇匯知識科技股份有限公司,台北市松山區,"月薪50,000~90,000元",
Java 後端工程師,鑫亨有限公司,新北市中和區,"月薪80,000元以上",
網頁後端工程師 Web Backend Engineer,以沛有限公司,台北市松山區,"月薪55,000~80,000元",
後端工程師 Backend Engineer,創星物聯科技股份有限公司,台北市內湖區,"年薪600,000~950,000元",
Backend or Full Stack Engineer / 後端 或 全端 工程師,點點閱有限公司,桃園市中壢區,待遇面議,
(Senior) Java Backend Developer_（資深）後端工程師,BookFast POS_新儀科技股份有限公司,台北市松山區,"年薪700,000~1,300,000元",
後端工程師/Backend Engineer,萬通教育股份有限公司,台北市中正區,"月薪40,000~80,000元",
Backend Engineer 後端工程師,生活市集_創業家兄弟股份有限公司,台北市南港區,"月薪40,000~80,000元",
Senior Backend Development / 資深後端工程師,新加坡商耐思人工智能有限公司台灣分公司,台北市內湖區,待遇面議,
Backend Developer | Java 後端工程師,Nexio Technology Limited_睿世軟體科技股份有限公司,台北市內湖區,待遇面議,
Backend Engineer 後端工程師（JAVA）ー知名外商遊戲大廠(16149-PH),立樂高園股份有限公司,台北市信義區,"年薪1,200,000~1,500,000元",
後端工程師(backend),旺捷智能感知股份有限公司,台北市中正區,待遇面議,
"Sr. Software Engineer, Backend (Search & Recommendation) - 資深後端工程師",旋轉科技有限公司,台北市中山區,待遇面議,
後端工程師 Python Backend,XienCi Inc. dba. Reverie_百博創意科技股份有限公司,台中市北區,待遇面議,
後端工程師 | Backend Engineer,AmazingTalker_香港商驚奇學習有限公司台灣分公司,新北市新莊區,"月薪80,000~130,000元",
Backend Engineer 後端工程師,悠勢科技股份有限公司,台北市中山區,"月薪40,000~75,000元",
後端工程師 Backend Engineer,塞席爾商悠福科技股份有限公司,台北市中山區,待遇面議,
Junior Backend Developer 後端程式設計師(Golang),台灣資信股份有限公司,台北市信義區,"月薪60,000~80,000元",
Back End (WLCSP) Operations Engineer(D2022R3-19258),STMicroelectronics_香港商意法半導體股份有限公司台灣分公司,新竹縣竹北市,待遇面議,
Backend Engineer / 後端工程師,塔圖科技股份有限公司,台北市大安區,"月薪50,000~80,000元",
[RD] 後端工程師(Backend Engineer),天堂遊戲有限公司,台北市信義區,待遇面議,
(Sr./Jr.) Backend Developer 後端工程師 (新專案),數位火箭有限公司,台北市信義區,待遇面議,
