職缺,公司名稱,地址,薪資,連結,工作內容,工作經驗,科系要求,擅長工具,其他條件
(年度擴編)Full Stack/Frontend Engineer / 全端/前端工程師,瑞嘉軟體科技股份有限公司,台北市內湖區,"月薪57,750~149,100元",//www.104.com.tw/job/41i1t?jobsource=hotjob_chr,"•  Designing, coding, and debugging web applications and services.
•  Coordinate with technical lead on current programming tasks.
•  Perform requirement analysis, code analysis, system risk analysis, and technical root cause analysis.
•  Support, maintain, and document software functionality.
•  Continuously learn and improve skills.
•  Perform other duties as necessary.",大學,資訊工程相關、資訊管理相關,[],"【MUST TO HAVE】
•  College or above graduate in Computer Science or related field.
•  Experience with web front-end technologies, such as HTTP, HTML, Javascript, and jQuery.
•  Strong programming experience in ASP.NET and C#.

【NICE TO HAVE】
•  Experience with designing API is a plus.
•  Experience with modern Javascript frameworks, such as ReactJS, is a plus.
•  Good teamwork and communication skills."
"UI設計師**月薪40,000~65,000**",小熊科技有限公司,台北市中正區,"月薪40,000~65,000元",//www.104.com.tw/job/74y1k?jobsource=hotjob_chr,"1.Ｗeb、App的UI／UX視覺設計與調整
2.平面設計(製作Banner與廣告宣傳圖片)
3.與軟體工程師協同開發合作",大學,資訊工程相關、資訊管理相關,"['Adobe Photoshop', 'Illustrator']","1.具 UI/UX 相關領域工作經驗，並曾參與上線產品 (Web/APP) 設計  
2.了解 iOS / Android 系統設計規範，能基於可用性原則提出方案
3.熟設計工具：Sketch、Photoshop跟Illustrator 
4.了解 Web/App UI 製作流程，能使用相關工具製作過程所需內容 
5.了解響應式網頁設計 
6.2年以上工作經驗 

★ 應徵者請附上作品集簡介或提供作品連結。

加分條件：有HTML、JavaScript等前端技能者加分"
【金融科技】.Net 程式設計師(新人/研發替代役),玉山銀行_玉山商業銀行股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/775l2?jobsource=hotjob_chr,"1. 負責資訊系統之程式開發、單元測試撰寫、功能測試
2. 負責資料庫程式開發與維護
3. 負責系統開發相關文件撰寫
4. 負責系統維護管理與功能更新
5. 負責程式資安議題處理及修正
6. 其他主管交辦事項

104僅供職缺參考，若您對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如書審通過，後續將邀請您參加面談。謝謝！
【網址：https://esnhr.pse.is/394b2n】",大學以上,資訊管理相關、數學及電算機科學學科類、資訊工程相關,"['ASP.NET', 'MS SQL', 'HTML', 'jQuery', 'CSS', 'VueJS', 'IIS']","1. 溝通能力佳、抗壓性高、重視團隊精神
2. 具.NET Core/.NET MVC程式設計開發經驗
3. 熟悉IIS、SQL Server操作設定者佳
4. 熟悉HTML5、CSS3、Vue.js、JQuery、TypeScript等前端開發技術佳
5. 具MS SQL資料庫設計能力及熟悉T-SQL/PL-SQL語法者佳
6. 理解軟體開發流程，可將需求轉換為流程與邏輯規則
7. 具團隊共同開發經驗及熟悉版控軟體尤佳，例如：Git 
8. 具金融相關工作經驗，熟悉金融法規、監理制度、ISMS資訊安全管理制度者尤佳"
(年度擴編)Frontend Engineer / 前端工程師,英屬維京群島商瑞嘉耐思科技有限公司台灣分公司,台北市內湖區,"月薪57,750~149,100元",//www.104.com.tw/job/6yqe8?jobsource=hotjob_chr,"‧ Designing, coding, and debugging web applications and services. 
‧ Coordinate with technical lead on current programming tasks. 
‧ Perform requirement analysis, code analysis, system risk analysis, and technical root cause analysis. 
‧ Support, maintain, and document software functionality. 
‧ Continuously learn and improve skills. 
‧ Perform other duties as necessary. ",大學以上,資訊管理相關、數學及電算機科學學科類、資訊工程相關,[],"【MUST TO HAVE】 
‧ Experience with one or more purpose programming languages including Javascript, or Go. 
‧ Experience with React/Node and related technologies. 
‧ Experience with Html5, CSS, Webpack. 

【NICE TO HAVE】 
‧ Experience architecting and building a product from the ground up. 
‧ Familiarity with Unit Test. 
‧ Familiarity with CI/CD, Docker/Kubernetes 
‧ Agile Scrum experience will be a plus. 
‧ Ability to learn other coding languages as needed. 
‧ Good teamwork and communication skills."
嵌入式系統軟體研發工程師 (22000E),四零四科技股份有限公司,新北市新莊區,待遇面議,//www.104.com.tw/job/71o1n?jobsource=hotjob_chr,"[團隊介紹]
我們是一群實事求是，喜歡動手做實驗，讓實測數據輔助技術決策，更曾開發出數個全球市佔率第一的產品的團隊。在技術討論過程中，我們尊重每位成員的想法，也尊重每個人對開發時程的評估。我們鼓勵團隊共創，大家喜歡腦力激盪找出最佳方案，歡迎你一起參加我們熱烈的技術討論。

如果你是新鮮人，這裡會是很好的成長環境，團隊中有很多技術強者能引導你入門。我們更是一群興趣廣泛的七八年級生，從打球衝浪到打電動都有人可以陪你玩!

[團隊與產品價值]
如同智慧型手機改變了現代人的生活一樣，物聯網也正在重新定義未來工業現場應用和生產製造的樣貌，而「通訊技術」會是實踐工業物聯網的一個關鍵。
研發團隊根據實際需求，秉持「Easy、Secure、Reliable」的中心思想，運用不同的連網技術、提供各種工業通訊協定互相轉換的能力，讓機器與機器、機器與人能互相溝通，讓客戶可以連結多樣的設備和感測器，蒐集大數據資料，並經由雲端和邊緣運算分析，優化生產管理流程、提供預防性維護。
如果你也想親身參與工業4.0與智慧製造的變革浪潮，認同這樣的產品價值和設計理念，歡迎投遞履歷跟我們聊聊。

[工作內容]
-	與團隊共同開發工業物聯網通訊產品的功能模組
-	與前端工程師共同設計與開發 API
-	與國外分公司同事合作，協助客戶處理產品問題

[職涯發展]
-	提供完整的新人技術訓練，工作更容易上手
-	提供技術及管理相關課程補助，在職後也能持續成長
-	鼓勵員工參觀產業相關展覽及研討會，增長眼界
-	公司的產品和技術領域多元，都有機會可以接觸

[工時]
-	每日工時8小時，彈性上下班 (8:00 – 10:00上班、17:00 – 19:00下班)
-	不支持也不欣賞常態性加班。提高效率做對的事比加班更值得鼓勵
",大學以上,資訊管理相關、數學及電算機科學學科類、資訊工程相關,['C']," [必要能力]
-	熟悉 C語言
-	具備作業系統、資料結構、演算法等基礎知識

[加分但非必要能力]
-	了解TCP/IP網路架構
-	具備socket programming經驗
-	在Linux或RTOS嵌入式系統的開發經驗
-	具備 Git指令操作經驗

[履歷內容注意事項]
-	應屆畢業生請附大學及研究所成績單
-	中英文履歷皆可
-	歡迎提供任何能展示你專業能力的作品
 "
數位創新實驗室-Fintech軟體工程師-產品開發,經貿聯網科技股份有限公司,台北市內湖區,"月薪45,000元以上",//www.104.com.tw/job/7au4b?jobsource=hotjob_chr,"你是經常寫程式、熱愛研究新技術、期待以自身的程式開發能力應用於數位創新服務的人才嗎？你期待一個以技術主導、鼓勵研發的工作環境嗎？經貿聯網數位創新實驗室歡迎你！ 

經貿聯網科技是台灣支付系統的領導品牌，以「數位創新、引領支付」為公司願景，長期為全台超過十家以上大型金融企業建置並維運安全的支付體系。並於五年前成立數位創新實驗室，專注於金融科技-雲技術與區塊鏈的研發，加入我們實驗室的團隊，除了能與支付市場之頂尖工程師共事，增強程式開發之能力外，你將可在二年內學成Fintech工程師所應具備的所有技能：
     -	DevOps運作
     -	Blockchain平台之營運與功能開發
     -	Cloud 平台 (Azure/AWS/GCS) 之營運與功能開發
     -	依使用者情境之新功能規劃、導入、與開發
     -	金融機構Fintech平台之營運與功能開發
     -	支付產業與Fintech的資安與法規
     -	每年最新技術的外訓課程

是經常寫程式、熱愛研究新技術、期待以自身的程式開發能力應用於數位創新服務的人才的首選！ 

工作內容
  1.	採DevOps的模式，發展FINTECH創新產品。
        範圍包含所有以最新技術在公有雲及私有雲上開發軟體生命週期的各階段。    
        FINTECH的技術領域以雲技術、機器學習及區塊鏈為主。  
  2.	與優異的工程師合作，應用在學校已學習的開發軟體生命週期管理技能於實作上。   
        過程中，除了展現技術能力外，將可深化工具評估與選擇的能力、
        軟體架構設計的能力、SA溝通協調的能力。
  3.	活用DevOps：含測試管理、版本控制及整合、CI/CD機制、軟體營運工程(SRE) 。
  4.	產業以金融業、支付業、特約商店管理相關為主，研發新的產品。
        參與內部及外部以Agile導入之專案，貢獻及學習專案管理的技能。
  5.	與UI/UX及使用者密切合作，開發符合不同情境/設備/及通路 的數位前端介面。

基礎技術
  1.	資訊工程與管理相關學士或碩士為優
  2.	JavaScript, TypeScript, Vue.js, Webpack, HTML等 
  3.	使用過 SVN/Git/CVS/TFS 等任一版本控制系統經驗，熟悉 Git 或 TFS 版控流程佳
  4.	高度學習 CI/CD/DevOps 的意願
  5.	其他技能, ex: network, web, Linux/Windows server...etc. 
  6.	具備良好的資料分析能力為優

專業技術：加入數位創新實驗室，您將在以下範圍進行實務運作與學習，同時找出自己專長及專注的領域
區塊鏈	
  •	研發基於 Ethereum 技術區塊鏈應用
  •	Blockchain 及API基本知識
  •	了解 Ethereum 基礎知識及運作原理
  •	具備智能合約開發能力及測試
  •	具備使用 Ethereum 節點及智能合約除錯能力
  •	其他專長/工具：go-ethereum / geth 、Truffle、Solidity	
雲端運算
  •	DevOps tools的使用。 例如： Docker, Ansible, Jenkins, Terraform, 
        kubernetes…etc.
  •	monitoring tools的使用。例如 InfluxDB/Prometheus/Grafana/Kibana 
  •	公有雲的使用。Experience with Azure/GCP/AWS operation

軟實力
  1.	期待快速學習成長（公司每年提供最新技術的教育訓練）的職涯
  2.	分析問題、邏輯思考、選擇最適技術解決問題的能力
  3.	喜歡應用最新的技術來優化團隊的產品及與公司所有的技術人員分享
  4.	喜歡以專案導向之工作性質
  5.	喜歡透過各種技巧發現問題並跟團隊互相支援、協作解決
  6.	喜歡透過各種工具/技巧執行監控等自動化作業來管理產品的上線生命週期、
        保持系統穩定運作及發現系統瓶頸

文化：專業透明、技術創新、合作共享 

福利： 
1.	薪資保障14個月，另依表現有每年績效獎金及長期留任獎金
2.	完整的居家上班規劃及軟硬體（WFH）
3.	由福委不定期舉辦各項活動來照顧同仁（工作-生活平衡）及CyberFamily公益組織回饋社會
4.	三節禮金/年終活動/每月一次之Happy Hour/按摩 等職場福利
5.	每二年之免費建康檢查

",大學、碩士,資訊管理相關、工程學科類、資訊工程相關,"['Linux', 'Jenkins', 'Git', 'HTML', 'JavaScript', 'jQuery', 'CSS', 'VueJS', 'HTTP', 'Security']","面試說明：我們的面試包含 上機考試 及 視訊口試（研究成果說明與技術問答），視你作答測試之時間，全長約1-2個小時，可能分次執行，將使用TEAMS軟體執行。
"
招募顧問（Talent Acquisition Consultant）,布爾喬亞公關顧問股份有限公司,台北市松山區,"年薪500,000~600,000元",//www.104.com.tw/job/642j1?jobsource=hotjob_chr,"常常有人問我們：【布爾喬亞】與其他同業有何不同？
先姑且不論我們對同業的定義是否一致，【布爾喬亞】尤其重視兩個核心發展：

1.	未來：未來五年、十年、或更久，「我們」的客戶與痛點各為何？需要提前在哪布局？準備什麼武器？
2.	效率：時間運用提升的關鍵在於熟知每個營運環節、並能對未來做出正確預測、然後能有效影響過程中每一個單位。

綜上兩點，我有幾個關鍵字：
#人才、#數據、#產品、#聯盟。

承上，幾個關鍵領域：
組織：招募獵才、組織設計、領袖培育；
服務：數據蒐集與分析、流程再造與創造、訂閱制與XaaS（S, D, P, DT...etc）；
市場：內容變現、文化變現、產業共好。

人才是唯一的資產、招募是唯一的策略。若能有100，我們絕不會要99人；能給我1000，我們就不要只有900。我們面試很仔細也很嚴格，所以面試量雖然大，但過關比例不高（每年約莫不到10%）。在主管逐漸成熟、樣貌更加差異化之後，我們必須要加速招募、且更有創意有系統進行多階層、多樣貌、綿密的招募行動，因此，一位良好的獵才招聘顧問是我們目前加速前進的必要角色。

您的角色，是專注在《招募與組織發展》領域中展現智慧與執行力，擔綱最前端的招募徵選。優秀的HR，總是期盼自己成為企業組織的形塑者，不論是擔綱最前端的招募徵選、最核心的組織設計、或最動態的訓練發展，其最高目標都是能替自己的組織創造當前最適、且永續發展的有機型態。要達到此目標，除了擁有良好的學識、豐富的生活經驗、以及紮實的實務訓練外，本身對於行銷與公關的涉獵程度，更是關鍵的決定要素。一言以蔽之，我們稱之為""形象設計師""。

布爾喬亞的創立初衷，即是建構一個互利共生、強調知識發展、以及個人與群體循環強化的生態系統。

我們要聘用與培養的，就是King / Queen Maker。不計個人名利榮辱，但求全體的突出與卓越。

對人力資源、組織發展有高度期盼的，來加入我們吧!

*****
工作職責：
招募與獵才面（80%）
     VOCAL MIDDLE 致力培育新「聲」代「布爾喬亞人」，招募具有潛力之社會新鮮人將是首要之務。
     規劃校園徵才：鎖定目標人才族群、制定整體形象定位、長期深耕校園關係。
     專業夥伴獵才：理解市場與組織現在與未來需求，主動出擊獵取文化契合之優異高手。
     蒐集資訊、理解未來性公關人才市場、定義組織人才需求，鎖定目標族群，傳遞理念、述說故事。
     作為組織內部的文化價值養成之推動者與守護者，給予經營團隊建議與提醒，創造與維持良好的工作環境與氛圍。
     
組織營運面（20%）
     組織文件之建立、撰寫、推廣。
     營運流程優化與強化，與各團隊溝通與執行。
     協助經營團隊建立解讀資料，尋找與建立集體智慧之方法論。
     軟性與硬性辦公環境之塑成，創造具備美感與平衡的工作環境。

尋才條件：
o	大學畢，1~2年外商獵頭經驗，負責兩種以上產業與十家以上客戶。
o	獨立運作、具備高度創意解決能力，按部就班的乖乖牌千萬不要來。
o	固定年薪50萬到60萬，外加激勵獎金；若有優秀實際規劃與執行招募計畫（無論是校園、正職）可以更高。

您未來的發展為：
     在專業領域上持續深耕，成為部門主管，帶領與管理更大幅度的專業部門；
     轉往騎士領域，成為業務主管。持續耕耘，則會成為封疆大吏！

職位重點補充：
    目前無須負擔管理責任，未來需視個人發展而定；
    具競爭力的月薪，保障年薪為13個月，另有年終分紅，本職務另設有激勵獎金。
",大學、碩士,商業及管理學科類、經濟社會及心理學科類、語文及人文學科類,"['Excel', 'OneNote', 'Outlook', 'PowerPoint', 'Word', 'Xmind', 'Power BI\u200b']","面試說明：我們的面試包含 上機考試 及 視訊口試（研究成果說明與技術問答），視你作答測試之時間，全長約1-2個小時，可能分次執行，將使用TEAMS軟體執行。
"
資訊助理工程師,博格科技股份有限公司,台北市大安區,"月薪32,000~35,000元",//www.104.com.tw/job/7hpcq?jobsource=hotjob_chr,"擔任工程師與客戶間的橋樑，提供技術方面與產品導入客戶端的支援，確保產品能依需求及進度完成與產品測試。

本公司為台灣商業流程軟體領導品牌，擁有上百家成功案例，服務客戶為80%以上之上市櫃公司。因應應用市場的成長，擴大招募銷售服務的團隊，希望有興趣在企業軟體產業發展的伙伴加入。
1.熟悉公司作業流程、產品或業務上所需之相關工程知識
2.回覆顧客應用技術的問題、回饋給相關單位，並提供產品技術諮詢
3.撰寫並提供客戶正確的產品規格與應用資訊，以供客戶參考
4.追蹤公司產品客戶端的進度，包括安裝出貨、教育訓練、上線等各階段客戶端的問題點，並加以收集、處理
5.提供客戶測試工具，分析並解決開發時發生的問題
6.負責技術支援文件的更新維護
7.資訊相關科系畢業
8.在主管帶領下進行學習
(1).前端網頁以Html、 JavaScript、JQuery應用為主。
(2).後端網頁以MVC、 .Net c#、SQL Server應用為主 。",大學,資訊工程相關、資訊管理相關,"['HTML', 'jQuery', 'CSS']","面試說明：我們的面試包含 上機考試 及 視訊口試（研究成果說明與技術問答），視你作答測試之時間，全長約1-2個小時，可能分次執行，將使用TEAMS軟體執行。
"
前端工程師(台中)-線上面試,九七科技股份有限公司,台中市西屯區,"月薪45,000~60,000元",//www.104.com.tw/job/73211?jobsource=hotjob_chr,"** 應徵時請附上 Cover Letter (自薦信) **
認真對待所開發的產品，就像自己的作品。
重視團隊溝通與合作，互相支援提醒。

-- 工作內容 --
  1. 熟悉網站前端技術 HTML、Javascript、CSS，與視覺設計團隊配合開發網頁專案
  2. 善於溝通，將與平面設計團隊、企劃、互動工程跨部門合作
  3. 串接後端 API 給予的資料呈現網頁上
  4. 前端團隊目前主要使用 Vue + Pug + Sass 組合開發

-- 必要條件 --
  1. HTML
  2. CSS
  3. Javascript
  4. Git

-- 加分條件 --
  1. API 串接經驗
  2. Web Framework 使用經驗

** 本公司接受遠端工作，初期需進公司教育訓練 **",高中以上,不拘,"['Git', 'HTML', 'JavaScript', 'CSS', 'VueJS']",應徵時請附上作品集、文案、自傳、證照等加分文件
前端工程師,曜盈科技有限公司,台中市南屯區,"月薪50,000~75,000元",//www.104.com.tw/job/7fspa?jobsource=hotjob_chr,"1.熟悉Html、CSS(SCSS) 、Javascript (ES6) ，重視代碼品質。 
2.熟悉Vue框架，並有3年以上相關開發經驗 
3.熟悉Webpack, Nodejs 
4.熟悉Git / Git Flow版本控制工具。 
5.具備串接Restful API經驗",專科、大學、碩士,不拘,"['Git', 'HTML', 'JavaScript', 'CSS', 'Node.js', 'VueJS']"," 1.具遊戲平台開發產業經驗佳
"
