職缺,公司名稱,地址,薪資,連結,工作內容,工作經驗,科系要求,擅長工具,其他條件
資深前端軟體工程師(台中)-線上面試,九七科技股份有限公司,台中市西屯區,"月薪65,000元以上",//www.104.com.tw/job/735v3?jobsource=hotjob_chr,"** 應徵時請附上 Cover Letter (自薦信) **
認真對待所開發的產品，就像自己的作品。
重視團隊溝通與合作，互相支援提醒。

-- 工作內容 --
  1. 熟悉網站前端技術 HTML、JavaScript、CSS，與視覺設計團隊配合開發網頁專案
  2. 善於溝通，將與平面設計團隊、企劃、互動工程跨部門合作
  3. 串接後端 API 給予的資料呈現網頁上
  4. 前端團隊目前主要使用 Vue + Pug + Sass 組合開發
  5. 即時處理線上問題
  6. 與各個團隊合作處理需求與問題，並主動回報進度與狀況

-- 必要條件 --
  1. 熟悉 JavaScript
  2. 熟悉 DevTool 工具，有效找到問題與優化
  3. 具有 VueJS / React / Angular 相關框架開發經驗
  4. 具有 Git 或 相關版本控制工具 使用經驗

-- 加分條件 --
  1. 個人作品
  2. 具備單元測試開發經驗
  3. 具備 Android App 開發經驗
  4. 具備 PWA 開發經驗
  5. 具備 SEO 開發經驗
  6. 具備 Docker 使用經驗
  7. 具備 Kubernetes 使用經驗
  8. 熟悉 Typescript

** 本公司接受遠端工作，初期需進公司教育訓練 **",大學以上,不拘,"['Git', 'HTML', 'JavaScript', 'CSS', 'VueJS']",應徵時請附上作品集、文案、自傳、證照等加分文件
Senior Backend Development / 資深後端工程師,新加坡商耐思人工智能有限公司台灣分公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7kmtt?jobsource=hotjob_chr,"【工作內容】
1.精進團隊開發流程、工具與架構技術
2.協助 PM 與客戶端溝通，了解需求後規劃並執行軟體架構與其模組之設計，且控管整體軟體交付進度
3.積極支援線上緊急問題處理
4.負責前後台網站的後端各類型服務建置與開發
5.具備團隊意識，能與團隊其它成員共同完成需求開發與解決線上問題
6.撰寫單元測試，整合測試程式碼，持續與團隊整合以交付高品質程式
7.參與架構設計與開發，支持系統持續演化改善以應對快速變動的需求

【技能需求】
1.精通 C#、ASP.Net MVC、T-SQL、Javascript
2.熟悉 .Net core 3.1 或 .Net 6
3.熟悉 MSTest / NUnit / xUNIT 任何一種單元測試框架
4.熟悉 Git 並能熟練運用於程式碼版本控管
5.會看執行計畫及擁有 Stored Procedure 效能調校經驗
6.曾使用 Jenkins 或 Gitlab CI 設計或實踐過 CI/CD 流程
7.瞭解或熟悉 Linux
8.Docker 經驗佳
9.有雲端經驗佳",專科、大學、碩士,資訊工程相關、資訊管理相關、應用數學相關,"['ASP.NET', 'Visual Studio .net', 'WinForm', 'MS SQL', 'HTML', 'JavaScript', 'XML', 'jQuery']","具備以下條件優先錄取：
熟悉 MySQL or MSSQL
- 熟悉 AWS ( or GCP/  Azure) 或具備 AWS認證證照
- 曾有 Pair programming 經驗
- 熟悉 Linux
- 熟悉 Redis / Mongo DB"
Android工程師（三組）,日新技術有限公司,台中市西屯區,"月薪32,000~50,000元",//www.104.com.tw/job/6vuaa?jobsource=hotjob_chr,"在這裡你可以開發全新功能、或是維護迭代原有功能，都能體驗到0-1的過程。如果你熱愛Android開發，那就加入我們一起來挑戰這個越來越大的市場吧！不論你是初階的Android工程師、或是有一定工作經驗的，皆會依據你的狀況來安排適當的教育訓練讓你上手工作。

＊面試請提供相關作品Demo，跟我們聊聊你的作品

◆ 需要技能：
- 熟悉Android Studio
- 熟悉Java或Kotlin （目前專案以Kotlin開發為主）
- 熟悉第三方套件
- 熟悉版本控制Git

◆ 加分項目：
- RESTful API 、JSON串接經驗
- RxJava2 + Retrofit 使用經驗
- 略懂C++ => 主要是NDK需要使用
- 串接過第三方廣告商SDK
- 撰寫過Lib
- 略懂影音串流
- 熟練使用MVVM模式

◆ 如果你具備以下特質更棒了：
- 樂觀開朗負責，溝通能力良好，重視團隊合作
- 具高度學習力因應變化快速的互聯網
- 正面積極，樂於接受新事物及挑戰

◆ 福利：
1. 績效獎金
2. 工作日提供免費午餐
3. 每月補充免費零食、飲料
4. 部門聚餐/公司聚餐  ",大學,不拘,"['Android', 'Java', 'Kotlin']","具備以下條件優先錄取：
熟悉 MySQL or MSSQL
- 熟悉 AWS ( or GCP/  Azure) 或具備 AWS認證證照
- 曾有 Pair programming 經驗
- 熟悉 Linux
- 熟悉 Redis / Mongo DB"
高級後端工程師 Node.JS ＆ C#(.net core),小熊科技有限公司,台北市中正區,"月薪60,000~80,000元",//www.104.com.tw/job/7nuwf?jobsource=hotjob_chr,"1. 與設計團隊共同合作開發大型網站平台
2. 創造給客戶更好的UI/UX體驗
3. 設計，開發網頁介面
4. 採用Scrum開發流程
",不拘,不拘,[],"*熟悉 Node.JS & Express Web Framework
*熟悉 C#(.net core)
*熟悉關聯式資料庫(Oracle 尤佳)
*熟悉 MongoDB
*熟悉 Broker System (ex: Rabbit MQ)
*熟悉 Unit Test & Node.JS test framework, (ex: Mocha, Jest…)
*熟悉 CI/CD
*熟悉 版本開發工具 GIT"
iOS_Objective-C 開發工程師,昊盈資訊有限公司,台北市松山區,待遇面議,//www.104.com.tw/job/73ifz?jobsource=hotjob_chr,"【工作概述】
負責完成公司承接的iOS APP開發案及後續更新維護等工作。

【專業需求】
1. 熟悉Objective-C 或 Swift 語言開發
2. 熟悉iOS開發憑證製作、審核、上架流程
3. 瞭解常用協力廠商開源 SDK（AFNetworking等）
4. 瞭解常用設計模式
5. 熟練掌握iOS UI開發.佈局方式等 ",不拘,不拘,"['Git', 'Objective-C']","【必要學歷】符合其中一項即可：
1.大專以上相關科系畢業。
2.具備iOS APP開發相關的專業學習結訓時數證明或證書。

【必要技能】
Xcode、Git管理工具

【加分經歷】
1.iOS_Objective-C 開發經驗1年以上。
2.具獨立開發APP經驗，或是參與/主導過1次以上大型的APP開發專案。

【人格特質】
1.個性開朗、具備抗壓性
2.有獨立分析問題和解決問題的能力
3.具備良好的開發文件書寫習慣；喜歡解決各種APP開發疑難雜症及瀏覽原始碼習慣
4. 熱愛APP開發技術，緊跟各種新 iOS 的開發技術，學習能力及執行力強

提醒您，
1. 面試者請確認可接受專業技能相關測驗，包含筆試與口試。
2. 技術複試面談因配合主管時間，不一定會與初試同一天完成。
持有經濟部能力鑑定(iPAS)證書者優先面試! MAD
"
軟體研發工程師 - Software Engineer,Antaira_艾科揚股份有限公司,新北市新店區,待遇面議,//www.104.com.tw/job/6mnwm?jobsource=hotjob_chr,"【團隊介紹】
初級技術人/新鮮人照過來!!!
這裡會是職涯發展的好所在，手把手帶領你/妳航向無邊際的軟體研發技術世界~
這是一群由八年級生組成的團隊，年輕、活力、有創意，新世代憧憬的團隊合作、腦力激盪，天天在此上演；我們鼓勵有話直說，為自己的論點做辯護，為團隊的目標做共識，如果你/妳有創新的想法，請大聲說出來與團隊分享吧!

【工作內容】
1. 與團隊共同開發L2 / L3 Ethernet Switch產品軟韌體
2. 與公司其他部門合作，協助客戶處理問題及客製化產品
3. 與團隊一同維護及優化既有產品",大學、碩士,資訊工程相關、電機電子工程相關,"['Linux', 'C']","1. 具備 C 語言程式設計能力
2. 具備 Linux 操作環境經驗
3. 熟悉 Git 操作尤佳
4. 具備 MCU 相關操作尤佳
5. 對程式碼品質有自我堅持與要求
6. 樂於學習、善於分享
7. 具備獨立思考能力並勇於表達專業想法
8. 對於工業4.0、工業物聯網有興趣者"
後端軟體工程師(台中)-線上面試,九七科技股份有限公司,台中市西屯區,"月薪45,000~60,000元",//www.104.com.tw/job/7nnwb?jobsource=hotjob_chr,"** 應徵時請附上 Cover Letter (自薦信) **
認真對待所開發的系統，就像自己的作品。
重視團隊溝通與合作，互相支援提醒。

工作內容
1.後端系統開發，包含 API 與後端各項服務，與外部系統介接
2.開發與維護資料庫資料
3.分析各項資料用來除錯，產生相關報表
4.參與部分管理系統的介面開發
5.即時處理線上問題
6.與各個團隊合作處理需求與問題，並主動回報進度與狀況

*必要條件
1-3年 Node.js 開發經驗，或相關的後端服務開發與維護經驗
MySQL 或其他關聯式資料庫(RDBMS)使用經驗
第三方服務與模組使用與介接經驗
了解版本控制的概念並有 Git 使用經驗

*加分條件
有完整的後端伺服器開發經驗，或是完整作品
熟悉 Linux 系統架構與操作
熟悉 GCP 具有 DevOps、CI/CD 相關經驗
熟悉 API 自動化測試框架及撰寫交付計劃

<本公司接受遠端工作，初期需進公司教育訓練>",大學以上,資訊工程相關、其他數學及電算機科學相關、資訊管理相關,[],應徵時請附上作品集、文案、自傳、證照等加分文件
軟體測試工程師,百阜科技股份有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/6lplm?jobsource=hotjob_chr,"1. 參與產品審核會議，熟悉產品文件及客戶端數據關係
2. 針對產品制定測試計畫
3. 進行接口測試、功能測試、壓力測試
4. 將測試結果反饋給開發人員並持續追蹤回歸測試",專科以上,不拘,[],"1. 熟悉常用介面測試工具、抓包工具，例如Jmeter、Postman
2. 熟悉使用IOS、Android操作系統
3. 具有基本文書能力及溝通協調力

加分：
1. 有自動化測試者、有興趣者佳 (編寫過http、socket接口測試單元)
2. 會撰寫自動化腳本佳
"
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Full Stack Developer 全端工程師,新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~70,000元",//www.104.com.tw/job/714qd?jobsource=hotjob_chr,"【新戰力募集】Full Stack Developer 全端工程師

工作內容:
Technique enthusiasts:
希望你是一位熱愛研究技術，有學習熱情，面對眾多考驗也能不畏艱難的投入， 我們有專門的UI/UX在產品設計與研究，讓你可以更專注在產品開發上。

Producers of fun:
每一個人都是樂趣的製造者，我們期許你將創意投入在產品上，追求更好的客戶體驗，有好的想法，隨時可以提出並且嘗試與實踐。

Problem solving:
我們不缺發現問題的人，但我們很缺解決問題的人，想要的工作環境由自己創造，用技術解決問題是我們的樂趣！

Team working:
專注在開發的你，更須注重與同事的協作，如果你善於溝通，那鈦坦會是你很好發揮的舞台，我們不排斥cross-function ，但我們更注重cross-learning。

Being adaptive: 發現問題，然後快速的修正迭代，我們崇尚敏捷開發，落實inspect and adapt，我們不害怕失敗，怕的是因為害怕失敗而不願意嘗試。

會的不用多，有信心解決問題就好！這裡會是最適合你的環境！

職務說明:
- 依據客戶及商業的需求，開發並維護高效能、高安全性、使用者易用的Web應用程式。
- 整合網站應用程式至資料庫導向或 API 導向的後台系統。
- 開發、改善及維運所有軟體產品與基礎建設，並提供維護所需的所有必要文件。",不拘,不拘,[],"• Familiar in server side languages (C# .Net).
• Familiar in ECMA Script, AJAX.
• Familiar in Object-Oriented Language.
• Familiar in SQL command (CRUD)."
