職缺,公司名稱,地址,薪資,連結,工作內容,工作經驗,科系要求,擅長工具,其他條件
網頁視覺設計師,甲尚股份有限公司,新北市新店區,"月薪30,000~50,000元",//www.104.com.tw/job/7htn6?jobsource=hotjob_chr,"平台視覺設計師將密切的與行銷團隊及平台營運合作，配合行銷活動與社群通路製作設計，並且支援產品介面、品牌等團隊，以一致的形象與高品質的設計，讓 Reallusion 的品牌印象更加深入使用者心中，並與業務團隊一起創造出最佳的銷售成績。
隨著 Reallusion的成長，我們需要更多的視覺設計夥伴加入我們，與團隊一起繼續成長。

如果您是對視覺傳達有熱情的伙伴，我們期待您的加入!

1.本公司商城AP/Content Store (含ActorCore and Marketplace) 行銷campaign活動視覺設計
2.本公司商城Store banner 設計與維護
3.Store 改版設計及優化
4.機制頁相關新增需求及優化

專長與技能:

1.具有EC平台Banner及網頁設計及與前端工程師合作經驗尤佳
2.具備HTML語法與RWD網頁基礎
",大學、碩士,其他藝術相關,['HTML'],請相關工作經驗5年以下，再投遞此職缺。
平面視覺設計師,泰浩科技有限公司,台中市西區,"月薪33,000~38,000元",//www.104.com.tw/job/6f8we?jobsource=hotjob_chr,"平面設計／美編人員
1.設計製作平面文宣、海報和DM。
2.規劃商品包裝的設計理念，並進行提案。
3.修改並執行其設計理念。
4.設計公司整體CI（企業形象識別）。
5.進行定期圖文編輯。
6.熟悉網頁前端工作者佳。
7.應聘請提供相關作品。",高中、專科、大學,不拘,"['Windows 7', 'Excel', 'Outlook', '中文打字50~75', '英文打字50~75']","1.具耐心處理繁瑣事務。
2.具積極上進的學習態度
3.善於溝通，理解力，邏輯性強，效率高。
4.具有責任心,追蹤事務完成。
5.主動性強,能夠主動提出疑問,提高自我專業能力
☆多益660分以上，每月薪資外加3000元
"
前端工程師(Front-End Web Developer),海棠設計有限公司,台北市中山區,"月薪45,000~70,000元",//www.104.com.tw/job/4n49v?jobsource=hotjob_chr,"公司內部使用Gulp為主要開發工具, 希望新的夥伴除了基本Html開發外也能有處理前端框架之經驗(Vue or Angular), 如你對自己的前端技術有信心且具備不斷磨連自己的熱誠與我們同仁一起成長的企圖心, 非常歡迎你來與我們詳談！

【基本技術】
需熟悉HTML5，CSS3與Javascript基本之網站技術，RWD處理能力，獨力完成基本技術之網站開發需求

【瀏覽器兼容性版面調整經驗】
瀏覽器包含了 IE、Edge、Chrome、FireFox、Safari...等，能依循專案需求針對瀏覽器調整相對應的程式碼撰寫，讓畫面能在瀏覽器上呈現相同的視覺成果 (當然瀏覽器本身有限制的情況下除外)，同時也需要注意瀏覽器相容性等問題

【與前端夥伴們一同成長】
我們期待技術人員都能關注網站前端技術、行動應用及網路發展趨勢，一同分享新技術以及協助公司其他部門的夥伴在專業知識上的安排及判斷

【重視使用經驗細節與優化】
海棠設計非常重視視覺設計之成果是否有一定的品質於網站畫面中呈現，我們致力於提供給客戶最好的設計品質以及適合的網頁互動設計

【樣式框架之經驗】
樣式框架如 bootstrap 、foundation，是我們經常使用之樣式框架，期待你對 bootstrap 以及 foundation 能有基本的認知與使用概念

【Git使用經驗與概念理解】
你會與前端同仁、後端人員一同開發、協作專案，因此須具備Git版控使用經驗及概念，如你與我們使用之軟體不同沒關係，可以一同討論分享 (會以海棠目前使用之工具為主)

【SEO相關細節】
專案中一定需配置SEO相關項目，且須具備SEO需處理之項目理解能力及執行能力

【與後端對話之能力】
解析RESETFUL API與後端工程師協作串接資料，欄位的建置與設計上皆須利於後端開發，如需調整，也需具備與後端工程師溝通達成共識解決問題之能力

【良好的溝通與傾聽】
每個人皆有自己工作的一套模式，我們期待公司的每一位夥伴都能有培養溝通能力以及傾聽夥伴的意見與想法

面試請務必附上作品或個人網站連結向我們分享你的精彩作品，
期待與你相識，一同成長與進步。",大學以上,不拘,"['AJAX', 'HTML', 'JavaScript', 'jQuery']","【人格特質與自我要求】
對於自己的前端作品除了完美外更願意創新
期待自我下一次之作品都能與眾不同

【前端框架經驗】
一年以上Vue or Angular為主要前端開發框架
熟悉Vue Router等架構之開發經驗"
前端工程師,曜盈科技有限公司,台中市南屯區,"月薪50,000~75,000元",//www.104.com.tw/job/7fspa?jobsource=hotjob_chr,"1.熟悉Html、CSS(SCSS) 、Javascript (ES6) ，重視代碼品質。 
2.熟悉Vue框架，並有3年以上相關開發經驗 
3.熟悉Webpack, Nodejs 
4.熟悉Git / Git Flow版本控制工具。 
5.具備串接Restful API經驗",專科、大學、碩士,不拘,"['Git', 'HTML', 'JavaScript', 'CSS', 'Node.js', 'VueJS']"," 1.具遊戲平台開發產業經驗佳
"
"UI設計師**月薪40,000~65,000**",小熊科技有限公司,台北市中正區,"月薪40,000~65,000元",//www.104.com.tw/job/74y1k?jobsource=hotjob_chr,"1.Ｗeb、App的UI／UX視覺設計與調整
2.平面設計(製作Banner與廣告宣傳圖片)
3.與軟體工程師協同開發合作",專科、大學、碩士,不拘,"['Adobe Photoshop', 'Illustrator']","1.具 UI/UX 相關領域工作經驗，並曾參與上線產品 (Web/APP) 設計  
2.了解 iOS / Android 系統設計規範，能基於可用性原則提出方案
3.熟設計工具：Sketch、Photoshop跟Illustrator 
4.了解 Web/App UI 製作流程，能使用相關工具製作過程所需內容 
5.了解響應式網頁設計 
6.2年以上工作經驗 

★ 應徵者請附上作品集簡介或提供作品連結。

加分條件：有HTML、JavaScript等前端技能者加分"
【台中】Frontend Engineer / 前端工程師(台中市政府旁),英屬維京群島商瑞嘉耐思科技有限公司台灣分公司,台中市西屯區,"月薪57,750元以上",//www.104.com.tw/job/7n3i1?jobsource=hotjob_chr,"‧ Web平台產品持續開發、改善及維運
‧ 網頁前端開發，將UI設計實作成品、套版
‧ 開發與改善前端元件
‧ 專案文件撰寫製作
‧ 協助客戶排除系統問題與技術障礙
‧ 具高度責任感、穩定性、獨立思考，工作配合度高可與團隊成員合作
‧ 願意與他人技術分享交流
‧ 非駐點及派遣工程師",大學、碩士,不拘,[],"【NICE TO HAVE】 
‧ 2年以上軟體開發相關工作經驗
‧ 熟悉JavaScript
‧ 熟悉React、Vue擇一
‧ 熟悉 Webpack 或其他模組打包工具"
軟體助理工程師,博格科技股份有限公司,台北市大安區,"月薪32,000~35,000元",//www.104.com.tw/job/54z7k?jobsource=hotjob_chr,"本公司為台灣商業流程軟體領導品牌，擁有上百家成功案例，服務客戶為80%以上之上市櫃公司。因應應用市場的成長，擴大招募銷售服務的團隊，希望有興趣在企業軟體產業發展的伙伴加入。
主要工作內容下:
1.人格特質：反應靈敏機伶、主動積極勤快、高EQ、學習力強、細心
2.在主管帶領下進行軟體協同表單開發撰寫
 (1).前端網頁以Html5、JQuery應用為主。
 (2).後端網頁以MVC、 .Net c#、SQL Server應用為主 。 
3.資訊相關科系畢業、 需有 C# 及 MS SQL 基礎",大學,不拘,"['C#', 'MS SQL', 'HTML', 'jQuery']","【NICE TO HAVE】 
‧ 2年以上軟體開發相關工作經驗
‧ 熟悉JavaScript
‧ 熟悉React、Vue擇一
‧ 熟悉 Webpack 或其他模組打包工具"
數位創新實驗室-Fintech軟體工程師-產品開發,經貿聯網科技股份有限公司,台北市內湖區,"月薪45,000元以上",//www.104.com.tw/job/7au4b?jobsource=hotjob_chr,"你是經常寫程式、熱愛研究新技術、期待以自身的程式開發能力應用於數位創新服務的人才嗎？你期待一個以技術主導、鼓勵研發的工作環境嗎？經貿聯網數位創新實驗室歡迎你！ 

經貿聯網科技是台灣支付系統的領導品牌，以「數位創新、引領支付」為公司願景，長期為全台超過十家以上大型金融企業建置並維運安全的支付體系。並於五年前成立數位創新實驗室，專注於金融科技-雲技術與區塊鏈的研發，加入我們實驗室的團隊，除了能與支付市場之頂尖工程師共事，增強程式開發之能力外，你將可在二年內學成Fintech工程師所應具備的所有技能：
     -	DevOps運作
     -	Blockchain平台之營運與功能開發
     -	Cloud 平台 (Azure/AWS/GCS) 之營運與功能開發
     -	依使用者情境之新功能規劃、導入、與開發
     -	金融機構Fintech平台之營運與功能開發
     -	支付產業與Fintech的資安與法規
     -	每年最新技術的外訓課程

是經常寫程式、熱愛研究新技術、期待以自身的程式開發能力應用於數位創新服務的人才的首選！ 

工作內容
  1.	採DevOps的模式，發展FINTECH創新產品。
        範圍包含所有以最新技術在公有雲及私有雲上開發軟體生命週期的各階段。    
        FINTECH的技術領域以雲技術、機器學習及區塊鏈為主。  
  2.	與優異的工程師合作，應用在學校已學習的開發軟體生命週期管理技能於實作上。   
        過程中，除了展現技術能力外，將可深化工具評估與選擇的能力、
        軟體架構設計的能力、SA溝通協調的能力。
  3.	活用DevOps：含測試管理、版本控制及整合、CI/CD機制、軟體營運工程(SRE) 。
  4.	產業以金融業、支付業、特約商店管理相關為主，研發新的產品。
        參與內部及外部以Agile導入之專案，貢獻及學習專案管理的技能。
  5.	與UI/UX及使用者密切合作，開發符合不同情境/設備/及通路 的數位前端介面。

基礎技術
  1.	資訊工程與管理相關學士或碩士為優
  2.	JavaScript, TypeScript, Vue.js, Webpack, HTML等 
  3.	使用過 SVN/Git/CVS/TFS 等任一版本控制系統經驗，熟悉 Git 或 TFS 版控流程佳
  4.	高度學習 CI/CD/DevOps 的意願
  5.	其他技能, ex: network, web, Linux/Windows server...etc. 
  6.	具備良好的資料分析能力為優

專業技術：加入數位創新實驗室，您將在以下範圍進行實務運作與學習，同時找出自己專長及專注的領域
區塊鏈	
  •	研發基於 Ethereum 技術區塊鏈應用
  •	Blockchain 及API基本知識
  •	了解 Ethereum 基礎知識及運作原理
  •	具備智能合約開發能力及測試
  •	具備使用 Ethereum 節點及智能合約除錯能力
  •	其他專長/工具：go-ethereum / geth 、Truffle、Solidity	
雲端運算
  •	DevOps tools的使用。 例如： Docker, Ansible, Jenkins, Terraform, 
        kubernetes…etc.
  •	monitoring tools的使用。例如 InfluxDB/Prometheus/Grafana/Kibana 
  •	公有雲的使用。Experience with Azure/GCP/AWS operation

軟實力
  1.	期待快速學習成長（公司每年提供最新技術的教育訓練）的職涯
  2.	分析問題、邏輯思考、選擇最適技術解決問題的能力
  3.	喜歡應用最新的技術來優化團隊的產品及與公司所有的技術人員分享
  4.	喜歡以專案導向之工作性質
  5.	喜歡透過各種技巧發現問題並跟團隊互相支援、協作解決
  6.	喜歡透過各種工具/技巧執行監控等自動化作業來管理產品的上線生命週期、
        保持系統穩定運作及發現系統瓶頸

文化：專業透明、技術創新、合作共享 

福利： 
1.	薪資保障14個月，另依表現有每年績效獎金及長期留任獎金
2.	完整的居家上班規劃及軟硬體（WFH）
3.	由福委不定期舉辦各項活動來照顧同仁（工作-生活平衡）及CyberFamily公益組織回饋社會
4.	三節禮金/年終活動/每月一次之Happy Hour/按摩 等職場福利
5.	每二年之免費建康檢查

",大學、碩士,資訊管理相關、工程學科類、資訊工程相關,"['Linux', 'Jenkins', 'Git', 'HTML', 'JavaScript', 'jQuery', 'CSS', 'VueJS', 'HTTP', 'Security']","面試說明：我們的面試包含 上機考試 及 視訊口試（研究成果說明與技術問答），視你作答測試之時間，全長約1-2個小時，可能分次執行，將使用TEAMS軟體執行。
"
Frontend Engineer / 前端工程師,新加坡商耐思人工智能有限公司台灣分公司,台北市內湖區,待遇面議,//www.104.com.tw/job/70e19?jobsource=hotjob_chr,"✪設計優質，能夠測試，以及容易編讀的程式程式
✪設計規格和營業的可行性以及質量保證程序程序
✪處理難題，調試升級升級系統以及維護軟體的功能

✪ Programming well-designed, testable, efficient and readable code
✪ Produce specifications and determine operational feasibility, along with quality assurance procedures
✪ Troubleshoot, debug, upgrade existing systems and maintain software functionality",大學、碩士,資訊管理相關、工程學科類、資訊工程相關,"['JavaScript', 'CSS', 'ReactJS']","★ 設計交互式應用程序的經驗
★ 熟悉 JavaScript / ES6 特性及語法，懂得善用 React.JS框架,  應用websocket的經驗。
★ 熟悉各瀏覽器的特性與限制，懂得跨瀏覽器的解決方案。
★ 熟悉掌握關係數據庫，SQL
★ 對 C# 的經驗為佳

★ Experience in designing interactive applications
★ Familiar with JavaScript / ES6 features and syntax, know how to use React.js frameworks, experience using websocket
★ Familiar with the features and limitations of each browser, understand the cross-browser solution
★ Excellent knowledge of relational databases, SQL
★ Experience in C# is a bonus"
後端工程師實習生｜Back-end engineer intern (2022暑假),谷奧科技股份有限公司,台北市大同區,"論件計酬25,000元",//www.104.com.tw/job/7n0ek?jobsource=hotjob_chr,"Gogoout目前在台灣22個縣市擁有超過200間合作店家，已成為全台第三大的租車服務提供者。現在，我們正遵循閃電擴張的策略，將業務拓展至全球，日本，馬來西亞，北美都有我們的合作夥伴。期待您的加入，讓我們一起創造下一個偉大的軟體公司 ！

【需要勇於挑戰的你】
1.對電商平台具有高度熱情，gogoout的每個功能都是在解決用戶問題
2.勇於表達自己的意見，具有高度解決問題能力，更可獨立作戰

gogoout的工作可以快速累積實戰經驗，讓你的潛力迅速發揮，歡迎萬中選一的人才加入。

｜工作內容
後端工程師實習
後端API開發、資料庫設計

｜職務需求
具有良好溝通能力，良好的邏輯能力
有前端經驗或熟悉laravel、AWS者更佳

｜徵求條件
熟悉:git flow,php, laravel, basic linux administration, 了解RDB原理, 可以設計出好的資料庫
具有第三方 API 串接能力(金流、發票等)
具備AWS相關經驗者佳(S3 , EC2 , RDS 等) 

｜工作時間地點
彈性的工作時間，公司位於捷運大橋頭站旁(走路五分鐘)
台北市大同區延平北路二段202號18樓


｜工作待遇
每週上班五天，每月25,000元(含車馬津貼,勞保,獎勵津貼）

｜工作福利
1.座擁大台北景觀的工作環境
2.免費咖啡無限供應，工作累了喝了再上
3.供應零食點心，氣泡水機，讓你補充滿滿戰鬥力
4.固定部門聚餐，加深同事間的感情聯繫
5.員工專屬租車優惠，出遊代步省很大
6.在gogoout我們不加班就能完成負責的工作甚至更多",大學以上,不拘,"['PHP', 'MySQL', 'JavaScript']","★ 設計交互式應用程序的經驗
★ 熟悉 JavaScript / ES6 特性及語法，懂得善用 React.JS框架,  應用websocket的經驗。
★ 熟悉各瀏覽器的特性與限制，懂得跨瀏覽器的解決方案。
★ 熟悉掌握關係數據庫，SQL
★ 對 C# 的經驗為佳

★ Experience in designing interactive applications
★ Familiar with JavaScript / ES6 features and syntax, know how to use React.js frameworks, experience using websocket
★ Familiar with the features and limitations of each browser, understand the cross-browser solution
★ Excellent knowledge of relational databases, SQL
★ Experience in C# is a bonus"
