職缺,公司名稱,地址,薪資,連結,工作內容,工作經驗,科系要求,擅長工具,其他條件
【採線上面談】Full Stack Developer 全端工程師,新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~70,000元",//www.104.com.tw/job/714qd?jobsource=hotjob_chr,"【新戰力募集】Full Stack Developer 全端工程師

工作內容:
Technique enthusiasts:
希望你是一位熱愛研究技術，有學習熱情，面對眾多考驗也能不畏艱難的投入， 我們有專門的UI/UX在產品設計與研究，讓你可以更專注在產品開發上。

Producers of fun:
每一個人都是樂趣的製造者，我們期許你將創意投入在產品上，追求更好的客戶體驗，有好的想法，隨時可以提出並且嘗試與實踐。

Problem solving:
我們不缺發現問題的人，但我們很缺解決問題的人，想要的工作環境由自己創造，用技術解決問題是我們的樂趣！

Team working:
專注在開發的你，更須注重與同事的協作，如果你善於溝通，那鈦坦會是你很好發揮的舞台，我們不排斥cross-function ，但我們更注重cross-learning。

Being adaptive: 發現問題，然後快速的修正迭代，我們崇尚敏捷開發，落實inspect and adapt，我們不害怕失敗，怕的是因為害怕失敗而不願意嘗試。

會的不用多，有信心解決問題就好！這裡會是最適合你的環境！

職務說明:
- 依據客戶及商業的需求，開發並維護高效能、高安全性、使用者易用的Web應用程式。
- 整合網站應用程式至資料庫導向或 API 導向的後台系統。
- 開發、改善及維運所有軟體產品與基礎建設，並提供維護所需的所有必要文件。",不拘,不拘,[],"• Familiar in server side languages (C# .Net).
• Familiar in ECMA Script, AJAX.
• Familiar in Object-Oriented Language.
• Familiar in SQL command (CRUD)."
組裝技術員_能源基礎設施暨工業解決方案事業群(平鎮),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,桃園市平鎮區,"月薪29,000~32,000元",//www.104.com.tw/job/6pjyp?jobsource=hotjob_chr,"按讚並追蹤""台達Delta Career""FB粉絲專頁，讓您更快掌握台達職缺脈動！
https://www.facebook.com/deltacareer

【工作內容】
1.在生產線上，配合生產線作業的移動速度，重覆執行產品某部份的裝配組合工作
2.此工作可能會適當的變換內容，因此需學習一種以上不同之裝配工作，例如從事包裝、電子零件組裝等
3.需能搬重15-20公斤、彈性配合工作輪調、遵守產線SOP、完成主管交辦任務 

【工作時間】
日班，8:30~17:30工時八小時，需配合加班
",高中、專科、大學,不拘,[],"• Familiar in server side languages (C# .Net).
• Familiar in ECMA Script, AJAX.
• Familiar in Object-Oriented Language.
• Familiar in SQL command (CRUD)."
【採線上面談】Software Engineer / Programmer 軟體工程師 (台中市政府旁),新加坡商鈦坦科技股份有限公司台灣分公司,台中市西屯區,待遇面議,//www.104.com.tw/job/494fw?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

Qualification
1.	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。 
2.	整合網站應用程式至資料庫導向或 API 導向的後台系統。
3.	可配合 24x7 的技術支援輪班, 協助客戶排除系統問題。
4.	開發、改善所有軟體產品，並提供維護所需的所有必要文件

• 此職缺在台中面試。
• 面試請附上作品集。",高中、專科、大學,不拘,"['ASP.NET', 'C#', 'MS SQL', 'JavaScript', 'jQuery']"," Experience
1.	年資：不限
2.	熟悉web-based development

Skills
1.	Familiar in ASP.NET and C#. (ASP.NET Core plus)
2.	Familiar in Frontend technology ( JavaScript, JQuery, Vue.js )
3.	Familiar in SQL-92 databases ( Microsoft SQL server 2014 and above )
4.	Familiar in automation test.
5.	Experience in web-based development.

[Nice to have]
1.	Familiar in Docker/K8S
2.	Familiar in CI/CD
3.	Experience design and build up a system from scratch

Personality Traits / Characteristics
1.	對學習新技術有熱忱，願意分享
2.	良好的溝通協調能力 "
公關顧問_PR Consultant,布爾喬亞公關顧問股份有限公司,台北市松山區,"年薪500,000~700,000元",//www.104.com.tw/job/45jcm?jobsource=hotjob_chr,"「替客戶發聲、替市場傳聲、重新定義公關顧問於產業中的影響力。」是訴諸於《VOCAL MIDDLE 布爾喬亞公關顧問公司》一名的企盼。作為公關顧問，我們相信「溝通」即是「公關」的核心本質，「布爾喬亞公關顧問」作為專業服務供給者，持續為客戶品牌於市場發聲 (Be the VOCAL)；作為產業「新聲代」，重新定義公關價值新主張 (PR, the New Sexy)。

自許為領先市場的旗手，布爾喬亞公關顧問以顧問思惟與資料科學雙引擎，驅動公關行銷專業服務，提供瞄準痛點的一站式服務，其中關鍵點即在於建立切合戰略的組織。

「全面發展，探索公關一切可能性」
是布爾喬亞公關顧問於2020年的戰略指標。誠如前述，這一切從建立切合戰略的組織做起。

「人才是我們唯一的問題」
「招募是我們唯一的策略」

相較於以往我們投入較多時間招聘公關顧問相關職缺，2020年起，我們將開始大量招聘更多不同價值取向的優秀夥伴，一同共築全體布爾喬亞欲打造的國際公司！

我們渴望的新夥伴為：公關顧問-  PR Consultant 

做為布爾喬亞的初階工作夥伴，公關顧問顧名思義，將成為客戶的「腦」，以公關的角度出發，提供最專業的思維與建議，並且透過團隊的高度執行力來將其實現，為客戶創造價值、解決問題。

【公關顧問 - 顧問級】角色期待與核心發展如下：
o	建立客戶經營地圖，探索與激發產業、客戶對公關服務的想像與渴望，並能妥適管理期待、達成高績效
o	熟稔專案管理，擔任合格專案經理人，如期如質，扮演形象設計師與公關顧問
o	能充分掌握與應用布爾喬亞公關服務組合、並持續探索各種工具與創意應用
o	具備實務經驗與實習打工經驗1年以上尤佳，無經驗可，但要能證明你有能力且值得栽培

→我們青睞的關鍵能力　
公關力：(1) 對症下藥、藥到病除 (2) 見微知著、長治久安 (3) 超前免疫、群體共好 
顧問力：(1) 造局力 (2) 解題力 (3) 觀點建立力 
領導力：(1) Mentor (2) Coach (3) Leader
詳細職務說明請見：https://docsend.com/view/zuw44h5ucjw78eha 

→角色期待與核心發展　
造局者（King Maker）：
建立客戶經營地圖，探索與激發產業、客戶對公關服務的想像與渴望，驅動客戶與團隊的成功，並能妥適管理期待、達成高績效。 
 
解題的人（Solution Provider）：
能充分掌握與應用布爾喬亞公關服務組合、並持續探索各種工具與創意應用，在公關顧問服務上，為客戶、為市場、為布爾喬亞持續找尋並實踐最佳解（Best Practice）。 
 
影響力的驅動者與追尋者（Influencer Accelerator）：
在扎實的公關專業訓練與積累下，藉由餵養市場資訊與觀點，落實「公關顧問」的價值與角色。When You Speak, People Listen. 

商業經理人（Business Manager）：
現在與未來的世界需要的不再是單一專才，而是了解骨幹、了解過去現在未來的商業經理人。公關行銷，是我們成就的手段，不是存在的目的。You think Business, you grow the Business. 
 
我們樂於培育新人，事實上，若我們有餘裕，我們絕對花更多資源在招聘與訓練新血，因為這些夥伴是組織長久成長的基石。我們歡迎各方好手加入，不拘經驗與產業，只限熱情與企圖心！

布爾喬亞的夥伴不僅是資產，而是價值共創者，更是形象設計師。

	價值先於價格，來與我們分享你的價值觀，以及你所懷抱的價值；
	形象由內而外，其關鍵在於日積月累對自己的堅持與投資，來讓我們看看你在自己身上下了多少功夫吧！
	你必須是一個對自己負責任的人，這表現在你的學業成績上，也表現在你的家庭、交友、生活習慣上。
	你必須是一位領導者。好的領導者好謀善斷、以身作則、擁有高度的同理心，並總能在小事上顯出大智慧。
	你必須是一位執行者。不論有多大的抱負、多高的天分，做不到承諾的事情，你就什麼都不是。
	你必須是一位善良的人。善良的人有良好的ＥＱ與ＡＱ、高度的熱情、以及吸引他人的自然能力。
	在學期間擁有實務公關、行銷相關經驗佳。已有工作經驗者，公關公司或整合行銷公司經驗為加分條件。

【夥伴福利】
為了讓布爾喬亞生活得更有品質，我們特別設計＂利潤分享機制＂，讓優秀夥伴們在執案的責任中不只享有應得之報酬與獎勵，還能與經營團隊分享實質的利潤！我們選擇將目光與資源先放置在工作夥伴身上，我們相信唯有讓夥伴過得更好，我們的客戶才會擁有更優質的服務團隊與服務品質！ 作為夥伴的價值共創者，布爾喬亞始終以「互利、互信、互重」為核心原則建構工作環境，而隨新年度將至，我們也調整了以下幾項制度，期盼得以提升夥伴們的生活與生命品質！

➡應屆畢業生月薪起薪37,000起跳 (含固定津貼) ，有經驗或高學歷者視能力另議。
➡正式夥伴每月最低薪資（含固定津貼）達45,000元以上
➡首年即有10天（滿三個月就有3天），每年一月一日增加2天，第五年起每年增加1天
➡10%On Target Income
➡年度營運成果分享
➡Workshop、外部講座、自我陶成假等訓練制度
➡久任基金、運動津貼、生日禮券等多項福利

我們已設計一套遠高於目前市場的利潤共享機制，在互利共生的前提下，我們樂於與每位夥伴分享成功的果實。所以首先，我們要成功；而要獲致穩健的成功，在於人才的聘用與培育。

若你擁有＂最野蠻的身體、最文明的頭腦和不可屈服的意志＂，來吧！
VOCAL MIDDLE, Your Vocal, Your Value Creator！



【推薦閱讀-首席布爾喬亞專欄】

★為何現在是加入布爾喬亞的最佳時機？
https://www.vocalmiddle.com/insight/ceo-talk/join-us/

【推薦閱讀-顧問專欄】

★誰是布爾喬亞 ? 一群對公關懷有熱情、對知識保持飢渴、對挑戰永不退卻的中堅份子－公關顧問副理 倪瑞陽（Ria Ni）
https://www.vocalmiddle.com/insight/consultant-talk/riani/

★世界很大，做自己的主宰－公關顧問副理 蔡旻樺（Jasmine Tsai）
https://www.vocalmiddle.com/insight/consultant-talk/jasmine-tsai-2/

★未來世界的專業工作者：用視野、觀點與能力打天下－公關顧問副理 林晏賢（Allen Lin）
https://www.vocalmiddle.com/insight/consultant-talk/allenlin/

★在「資訊的第一線」，碰觸世界的變化－公關顧問副理 溫麗菁（Alicia Wen）
https://www.vocalmiddle.com/insight/consultant-talk/alicia-wen/

★熱愛解題，擁抱未知，我眼中公關界的「人才創新加速器」－資深公關顧問 賈孟慈（Vivian Chia）
https://www.vocalmiddle.com/insight/consultant-talk/vivian-chia/

",大學、碩士,語文及人文學科類、大眾傳播學科類、商業及管理學科類,[]," Experience
1.	年資：不限
2.	熟悉web-based development

Skills
1.	Familiar in ASP.NET and C#. (ASP.NET Core plus)
2.	Familiar in Frontend technology ( JavaScript, JQuery, Vue.js )
3.	Familiar in SQL-92 databases ( Microsoft SQL server 2014 and above )
4.	Familiar in automation test.
5.	Experience in web-based development.

[Nice to have]
1.	Familiar in Docker/K8S
2.	Familiar in CI/CD
3.	Experience design and build up a system from scratch

Personality Traits / Characteristics
1.	對學習新技術有熱忱，願意分享
2.	良好的溝通協調能力 "
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
國立政治大學 創新國際學院教務專任助理1名(急徵),國立政治大學_創新國際學院,台北市文山區,"月薪32,240~45,000元",//www.104.com.tw/job/7mpjr?jobsource=hotjob_chr,"承辦與教務處各組相關業務如：
1. 學士班課程事務，包含課程安排與規劃、課程宣傳、選課系統執行設定並與開課教師溝通聯繫，辦理系、院課程委員會。
2. 學生學分抵免、修業狀況與成績查詢確認、加退選異動、畢業學分認定。
3. 學士班轉學、轉系、雙主修及台聯大雙主、輔系和轉校考試。
4. 協助國內本籍生招生、高中宣講、包種茶節
5. 教務處課程相關補助申請及經費控管。
6. 其他辦公室臨時交辦事項。
",大學以上,不拘,"['Apple', 'Windows 10', 'Adobe Acrobat', 'Excel', 'PowerPoint', 'Word']","1.	學經歷：大學校院畢業具學士或碩士學位，具畢業後三年以上專任工作資歷尤佳。
2.	語言能力：英語檢定需符合其中一項：全民英檢中高級或TOEIC850以上，或相同等級英文檢定成績。
3.	具良好團隊協調合作能力、高度服務熱忱及邏輯與組織能力。
4.	熟Windows系統、Office軟體操作。
5.	具備學校行政庶務處理能力為佳。"
招募顧問（Talent Acquisition Consultant）,布爾喬亞公關顧問股份有限公司,台北市松山區,"年薪500,000~600,000元",//www.104.com.tw/job/642j1?jobsource=hotjob_chr,"常常有人問我們：【布爾喬亞】與其他同業有何不同？
先姑且不論我們對同業的定義是否一致，【布爾喬亞】尤其重視兩個核心發展：

1.	未來：未來五年、十年、或更久，「我們」的客戶與痛點各為何？需要提前在哪布局？準備什麼武器？
2.	效率：時間運用提升的關鍵在於熟知每個營運環節、並能對未來做出正確預測、然後能有效影響過程中每一個單位。

綜上兩點，我有幾個關鍵字：
#人才、#數據、#產品、#聯盟。

承上，幾個關鍵領域：
組織：招募獵才、組織設計、領袖培育；
服務：數據蒐集與分析、流程再造與創造、訂閱制與XaaS（S, D, P, DT...etc）；
市場：內容變現、文化變現、產業共好。

人才是唯一的資產、招募是唯一的策略。若能有100，我們絕不會要99人；能給我1000，我們就不要只有900。我們面試很仔細也很嚴格，所以面試量雖然大，但過關比例不高（每年約莫不到10%）。在主管逐漸成熟、樣貌更加差異化之後，我們必須要加速招募、且更有創意有系統進行多階層、多樣貌、綿密的招募行動，因此，一位良好的獵才招聘顧問是我們目前加速前進的必要角色。

您的角色，是專注在《招募與組織發展》領域中展現智慧與執行力，擔綱最前端的招募徵選。優秀的HR，總是期盼自己成為企業組織的形塑者，不論是擔綱最前端的招募徵選、最核心的組織設計、或最動態的訓練發展，其最高目標都是能替自己的組織創造當前最適、且永續發展的有機型態。要達到此目標，除了擁有良好的學識、豐富的生活經驗、以及紮實的實務訓練外，本身對於行銷與公關的涉獵程度，更是關鍵的決定要素。一言以蔽之，我們稱之為""形象設計師""。

布爾喬亞的創立初衷，即是建構一個互利共生、強調知識發展、以及個人與群體循環強化的生態系統。

我們要聘用與培養的，就是King / Queen Maker。不計個人名利榮辱，但求全體的突出與卓越。

對人力資源、組織發展有高度期盼的，來加入我們吧!

*****
工作職責：
招募與獵才面（80%）
     VOCAL MIDDLE 致力培育新「聲」代「布爾喬亞人」，招募具有潛力之社會新鮮人將是首要之務。
     規劃校園徵才：鎖定目標人才族群、制定整體形象定位、長期深耕校園關係。
     專業夥伴獵才：理解市場與組織現在與未來需求，主動出擊獵取文化契合之優異高手。
     蒐集資訊、理解未來性公關人才市場、定義組織人才需求，鎖定目標族群，傳遞理念、述說故事。
     作為組織內部的文化價值養成之推動者與守護者，給予經營團隊建議與提醒，創造與維持良好的工作環境與氛圍。
     
組織營運面（20%）
     組織文件之建立、撰寫、推廣。
     營運流程優化與強化，與各團隊溝通與執行。
     協助經營團隊建立解讀資料，尋找與建立集體智慧之方法論。
     軟性與硬性辦公環境之塑成，創造具備美感與平衡的工作環境。

尋才條件：
o	大學畢，1~2年外商獵頭經驗，負責兩種以上產業與十家以上客戶。
o	獨立運作、具備高度創意解決能力，按部就班的乖乖牌千萬不要來。
o	固定年薪50萬到60萬，外加激勵獎金；若有優秀實際規劃與執行招募計畫（無論是校園、正職）可以更高。

您未來的發展為：
     在專業領域上持續深耕，成為部門主管，帶領與管理更大幅度的專業部門；
     轉往騎士領域，成為業務主管。持續耕耘，則會成為封疆大吏！

職位重點補充：
    目前無須負擔管理責任，未來需視個人發展而定；
    具競爭力的月薪，保障年薪為13個月，另有年終分紅，本職務另設有激勵獎金。
",大學、碩士,商業及管理學科類、經濟社會及心理學科類、語文及人文學科類,"['Excel', 'OneNote', 'Outlook', 'PowerPoint', 'Word', 'Xmind', 'Power BI\u200b']","1.	學經歷：大學校院畢業具學士或碩士學位，具畢業後三年以上專任工作資歷尤佳。
2.	語言能力：英語檢定需符合其中一項：全民英檢中高級或TOEIC850以上，或相同等級英文檢定成績。
3.	具良好團隊協調合作能力、高度服務熱忱及邏輯與組織能力。
4.	熟Windows系統、Office軟體操作。
5.	具備學校行政庶務處理能力為佳。"
行政助理,網羅系統整合有限公司,新北市汐止區,"月薪26,000~33,000元",//www.104.com.tw/job/5csf5?jobsource=hotjob_chr,"(本公司刊登之職務，一年365天 全開，對任何職務有興趣，歡迎主動應徵)
※謝絕抽菸※

【面試方式】 視訊面試

【優勢】不用加班、不用加班、不用加班

【地址】汐止 東方科學園區

【基本技能】無本工作職務經驗也可，只要熟悉電腦使用，一分鐘打字50字以上

【職務角色說明】
行政助理 : 負責 女人知己試用大隊網站 - 口碑行銷服務 相關行政工作

我們已將行銷工作行政化，所有的行銷工作皆已有既定SOP，如同一般例行性工作
此工作不僅符合符合您要的行政工作，又可從中學習到網路行銷

什麼是 「女人知己試用大隊」? 
女人知己試用大隊 https://www.justwoman.tw 
提供各式保養品、彩妝品、保健食品、婦幼用品、生活用品、SPA、寵物用品、零嘴、美食、餐廳、民宿、飯店、旅館、農場、樂園，
免費讓部落客試用、體驗、分享心得，讓好商品、好服務，可以透過口碑行銷推廣出去

【工作內容】
加入我們，您將接觸到各式美妝、保健、美食...等等商品，
從中學習到如何透過 「部落客口碑行銷」，將商品推廣出去

相關工作如下: (熟悉電腦使用，無經驗可)
(1) 廠商接洽 (以email、line、電話 接洽，非外出)
(2) 商品資料建檔、上下架商品
(3) FB活動發布、FB 廣告購買
(4) 其他本服務須執行的工作 
(5) 其他主管交辦事項 

除了工作能力外 , 我們更注重您的人格特質
若您符合以下幾項 , 也歡迎您參加面試

1.活潑開朗 
2.有工作上的事業心、企圖心、責任心
3.凡事肯學 ,有顆努力向上的心
4.做事主動、積極、迅速 不拖泥帶水
5.處事圓融 , 做任何事情都會已完成工作為目標
6.有創意頭腦或點子
7.對網路行銷 、網站經營有高度興趣


【獎金制度】
除原本的工作內容外，也有「蒐集廠商」而讓廠商進件的獎金制度
一個廠商進件有$3000獎金

#行政助理  #汐止  #行政人員",不拘,不拘,"['Excel', 'PowerPoint', 'Word']","1.	學經歷：大學校院畢業具學士或碩士學位，具畢業後三年以上專任工作資歷尤佳。
2.	語言能力：英語檢定需符合其中一項：全民英檢中高級或TOEIC850以上，或相同等級英文檢定成績。
3.	具良好團隊協調合作能力、高度服務熱忱及邏輯與組織能力。
4.	熟Windows系統、Office軟體操作。
5.	具備學校行政庶務處理能力為佳。"
【採線上面談】User Experience Researcher 使用者經驗研究員(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,待遇面議,//www.104.com.tw/job/73qxd?jobsource=hotjob_chr,"看了太多以「UX/UI Designer」為 Title 的職缺嗎？
我們正在尋找專職的User Experience Researcher

【工作內容】
在鈦坦的UXR會碰到大量的行為資料數據，需要透過邏輯的分析去了解使用者的行為並發掘潛在的問題，且透過質化研究去挖掘使用者的行為目的與心理預期，進而提供產品建議。

根據公司的營運方向，幫助公司了解使用者狀況、痛點和需求，進而衍生產品競爭力及機會點。除此之外，工作過程中將與UI設計師/工程師/Product Owner等不同專業的夥伴合作，共同創造出好的顧客旅程以及激盪創造出具有良好使用體驗的產品，甚至是有吸引力的產品。
如果你認同且符合我們對於User Experience Researcher期望，趕緊將你的履歷寄來吧!


【Qualification】
1. 具備規劃嚴謹研究計畫的能力，並貼近現實狀況/需求。
2. 熟悉UX質量化研究方法，並能精準的執行研究計畫與分析資料與數據
3. 能獨立自主作業，對工作內容抱有熱情，願意主動溝通
4. 溝通能力強，具有邏輯思維

【Experience】
1. 在軟體產業有三年以上的使用者經驗研究的工作經驗
2. 有從執行研究到自行設計(wireframe, IA, flow)的專案經驗（不包括視覺設計）

【Personality Traits / Characteristics】
1. 勇於提出自己的看法，願意聆聽他人並溝通進而消彌歧異
2. 敏銳的觀察力，確實的執行力，獨立自主的工作能力
3. 面對各種挑戰，虛心聆聽並獨立思辨。
4. 對事物保有好奇心，樂於學習新事物
",大學以上,不拘,[]," 1. 具備追蹤與撈取數據能力，如懂得使用Google Tag Manager, 資料庫/SQL
2. 可用英文進行溝通與開會尤佳
3. ⾯試時請攜帶過往⼯作案例以便分享 (未準備者將不予錄取，請⾯試者特別留意)

 "
【日班/夜班_做二休二】製造作業員(平鎮),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,桃園市平鎮區,"月薪25,250元以上",//www.104.com.tw/job/7cjjw?jobsource=hotjob_chr,"◆「正職」非派遣，享年終，另有優渥績效獎金，年薪上看17個月！

【工作內容】
1.配合生產線作業的移動速度，重覆執行產品某部份的裝配組合工作。
2.需熟悉一種以上不同之裝配工作，例如從事包裝、電子零件組裝…等。
3.無經驗可，有工廠經驗者優先錄取

【好康加碼看這裡】
好康一、500元包三餐
好康二、台達特約醫院體檢免費
好康三、每年高額旅遊補助一萬元
好康四、每年額外七天公司排休假
好康五、高額留任獎金，做滿三個月、六個月，即可領取。
好康六、推薦親友獲得錄取者，可獲得高額推薦獎金。


★台達平鎮廠附有員工汽機車停車場、健身房、員工餐廳，歡迎您加入我們的行列★",高中以上,不拘,[]," 1.SMT經驗
2.機台量測經驗
3.機台測試經驗 "
