職缺,公司名稱,地址,薪資,連結,工作內容,工作經驗,科系要求,擅長工具,其他條件
【採線上面談】User Experience Researcher 使用者經驗研究員(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,待遇面議,//www.104.com.tw/job/73qxd?jobsource=hotjob_chr,"看了太多以「UX/UI Designer」為 Title 的職缺嗎？
我們正在尋找專職的User Experience Researcher

【工作內容】
在鈦坦的UXR會碰到大量的行為資料數據，需要透過邏輯的分析去了解使用者的行為並發掘潛在的問題，且透過質化研究去挖掘使用者的行為目的與心理預期，進而提供產品建議。

根據公司的營運方向，幫助公司了解使用者狀況、痛點和需求，進而衍生產品競爭力及機會點。除此之外，工作過程中將與UI設計師/工程師/Product Owner等不同專業的夥伴合作，共同創造出好的顧客旅程以及激盪創造出具有良好使用體驗的產品，甚至是有吸引力的產品。
如果你認同且符合我們對於User Experience Researcher期望，趕緊將你的履歷寄來吧!


【Qualification】
1. 具備規劃嚴謹研究計畫的能力，並貼近現實狀況/需求。
2. 熟悉UX質量化研究方法，並能精準的執行研究計畫與分析資料與數據
3. 能獨立自主作業，對工作內容抱有熱情，願意主動溝通
4. 溝通能力強，具有邏輯思維

【Experience】
1. 在軟體產業有三年以上的使用者經驗研究的工作經驗
2. 有從執行研究到自行設計(wireframe, IA, flow)的專案經驗（不包括視覺設計）

【Personality Traits / Characteristics】
1. 勇於提出自己的看法，願意聆聽他人並溝通進而消彌歧異
2. 敏銳的觀察力，確實的執行力，獨立自主的工作能力
3. 面對各種挑戰，虛心聆聽並獨立思辨。
4. 對事物保有好奇心，樂於學習新事物
",大學以上,不拘,[]," 1. 具備追蹤與撈取數據能力，如懂得使用Google Tag Manager, 資料庫/SQL
2. 可用英文進行溝通與開會尤佳
3. ⾯試時請攜帶過往⼯作案例以便分享 (未準備者將不予錄取，請⾯試者特別留意)

 "
固定日班_製造作業員(零件組裝)_中壢,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,桃園市中壢區,"月薪26,000~30,000元",//www.104.com.tw/job/7hrwo?jobsource=hotjob_chr,"按讚並追蹤""台達Delta Career""FB粉絲專頁，讓您更快掌握台達職缺脈動！
https://www.facebook.com/deltacareer

1.配合主管排班，重覆執行電子儀器設備某部份的裝配、配線組合工作。
2.此職缺會視工作需求短期調派平鎮廠區工作。

【薪資福利】
1. 享有年終及年中績效獎金，年薪上看16個月
2. 設備完善的員工餐廳與用餐補助
3. 享有年度員工旅遊假及旅遊補助及各項福利金補助
4. 台達特約醫院體檢免費",高中、專科、大學,工業工程相關、電機電子工程相關、機械工程相關,[],"Excel;Outlook;PowerPoint				
1.	電子產品組裝經驗
2.	基本電腦文書處理能力
3.     有電子廠工作經驗尤佳
"
固定日班 組裝作業員(自動化設備)_中壢,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,桃園市中壢區,"月薪26,000~31,000元",//www.104.com.tw/job/7hth3?jobsource=hotjob_chr,"按讚並追蹤""台達Delta Career""FB粉絲專頁，讓您更快掌握台達職缺脈動！
https://www.facebook.com/deltacareer

1. 配合主管排班，重覆執行電子儀器設備某部份的組裝搬運、測試工作。
2. 組裝設備/機電整合經驗者優先錄取

【薪資福利】
1. 享有年終及年中績效獎金，年薪上看16個月
2. 滿半年享久任獎金
3. 設備完善的員工餐廳與用餐補助
4. 享有年度員工旅遊假及旅遊補助及各項福利金補助
5. 台達特約醫院體檢免費",高中、專科、大學,工業工程相關、電機電子工程相關、機械工程相關,[]," Excel;Outlook;PowerPoint				
1.	電子產品組裝經驗
2.	基本電腦文書處理能力
3.     有電子廠工作經驗尤佳
 "
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Full Stack Developer 全端工程師,新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~70,000元",//www.104.com.tw/job/714qd?jobsource=hotjob_chr,"【新戰力募集】Full Stack Developer 全端工程師

工作內容:
Technique enthusiasts:
希望你是一位熱愛研究技術，有學習熱情，面對眾多考驗也能不畏艱難的投入， 我們有專門的UI/UX在產品設計與研究，讓你可以更專注在產品開發上。

Producers of fun:
每一個人都是樂趣的製造者，我們期許你將創意投入在產品上，追求更好的客戶體驗，有好的想法，隨時可以提出並且嘗試與實踐。

Problem solving:
我們不缺發現問題的人，但我們很缺解決問題的人，想要的工作環境由自己創造，用技術解決問題是我們的樂趣！

Team working:
專注在開發的你，更須注重與同事的協作，如果你善於溝通，那鈦坦會是你很好發揮的舞台，我們不排斥cross-function ，但我們更注重cross-learning。

Being adaptive: 發現問題，然後快速的修正迭代，我們崇尚敏捷開發，落實inspect and adapt，我們不害怕失敗，怕的是因為害怕失敗而不願意嘗試。

會的不用多，有信心解決問題就好！這裡會是最適合你的環境！

職務說明:
- 依據客戶及商業的需求，開發並維護高效能、高安全性、使用者易用的Web應用程式。
- 整合網站應用程式至資料庫導向或 API 導向的後台系統。
- 開發、改善及維運所有軟體產品與基礎建設，並提供維護所需的所有必要文件。",不拘,不拘,[],"• Familiar in server side languages (C# .Net).
• Familiar in ECMA Script, AJAX.
• Familiar in Object-Oriented Language.
• Familiar in SQL command (CRUD)."
【固定日班】目檢作業員_航太軍規產品(中壢),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,桃園市中壢區,"月薪26,000~30,000元",//www.104.com.tw/job/72qtz?jobsource=hotjob_chr,"按讚並追蹤""台達Delta Career""FB粉絲專頁，讓您更快掌握台達職缺脈動！
https://www.facebook.com/deltacareer

1. 在生產線上，配合生產線作業的移動速度，重覆執行產品某部分的裝配組合工作。
2. 此工作可能會適當地變換內容，在職者要熟悉一種以上不同之裝配工作。例如從事印刷、電子零件組裝...等工作之作業員。
3. 大部分工作需使用顯微鏡、放大鏡。

*平日晚上與週六有經常性加班",高中、專科,不拘,[],"1. 個性主動積極、細心度高。
2. 需配合加班
3. 大部分工作需使用顯微鏡、放大鏡"
【採線上面談】Software Engineer / Programmer 軟體工程師 (台中市政府旁),新加坡商鈦坦科技股份有限公司台灣分公司,台中市西屯區,待遇面議,//www.104.com.tw/job/494fw?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

Qualification
1.	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。 
2.	整合網站應用程式至資料庫導向或 API 導向的後台系統。
3.	可配合 24x7 的技術支援輪班, 協助客戶排除系統問題。
4.	開發、改善所有軟體產品，並提供維護所需的所有必要文件

• 此職缺在台中面試。
• 面試請附上作品集。",高中、專科,不拘,"['ASP.NET', 'C#', 'MS SQL', 'JavaScript', 'jQuery']"," Experience
1.	年資：不限
2.	熟悉web-based development

Skills
1.	Familiar in ASP.NET and C#. (ASP.NET Core plus)
2.	Familiar in Frontend technology ( JavaScript, JQuery, Vue.js )
3.	Familiar in SQL-92 databases ( Microsoft SQL server 2014 and above )
4.	Familiar in automation test.
5.	Experience in web-based development.

[Nice to have]
1.	Familiar in Docker/K8S
2.	Familiar in CI/CD
3.	Experience design and build up a system from scratch

Personality Traits / Characteristics
1.	對學習新技術有熱忱，願意分享
2.	良好的溝通協調能力 "
資料科學家,開元食品工業股份有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7mpnd?jobsource=jolist_c_relevance,"1. 使用各種資料科學技術，包括機器學習、數據可視化、統計等，幫助企業解決各個領域的問題。
2. 設計、開發和維護可擴展的自動化機器學習和應用程序，使用戶能夠提取有價值的結果。
3. 構建新的和增強現有工具，以加強資料科學團隊的內部工具。
4. 與資料科學家、產品經理、業務部門等不同角色密切合作。
",大學、碩士,資訊工程相關、統計學相關、數理統計相關,"['Python', 'MS SQL', 'MySQL', 'Tableau']","1.3年機器學習、深度學習或數據分析之相關經驗
2.熟悉資料科學相關技術，如R, Python, SQL, TensorFlow等
3.熱愛學習、喜歡研究新的量化分析方法，並將之用於解決問題。
4.具備Tableau使用經驗尤佳
"
資料科學家,台灣資料科學股份有限公司,台北市內湖區,"月薪38,000~88,000元",//www.104.com.tw/job/758ll?jobsource=jolist_c_relevance,"期待有想法有衝勁的夥伴能夠加入我們。

(1). 建構數據分析環境，並運用Python分析。
(2). 以機器、深度學習與統計分析等最佳化研究與開發。
(3). 規劃數據模型，進行統計與分析，開發資料視覺化圖表。
(4). 數據研究報告撰寫。
(5). 開發及設計BI分析報表。
(6). 協助專案研發與新技術的導入。
(7). 對學習新技術具有熱情，具備良好的溝通及團隊合作能力。
(8). 其他主管交辦事項。

",大學、碩士,資訊工程相關、統計學相關、數理統計相關,"['Python', 'MS SQL', 'MySQL', 'Power BI\u200b']","(1). 熟智慧物聯、智慧零售和金融科技產業者佳。
(2). 具備數據視覺化經驗者佳。
(3). 具備資料庫分析經驗者佳。
(4). 精通統計理論相關知識，並有數據分析實際經驗。
(5). 喜歡主動閱讀國內外AI或大數據分析相關的論文、專利或相關新知者佳。
(6.) 對數據資料有敏感度且有熱情。
(7). 熟悉基礎git版本控制。
(8). 能閱讀英文文件加分。
持有經濟部能力鑑定(iPAS)證書者優先面試! BDA

"
資料科學家,騰創數析股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/7nuse?jobsource=jolist_c_relevance,"✅ 公司簡介

「騰創數析」係由零售解決方案領導廠商「騰雲科技」與資料科學團隊「創代科技」共同成立。結合雙方在數據匯流與整合分析之專業優勢，將持續以資料科學為服務核心，為企業及政府客戶提供多元、創新的數據服務。


✅ 職務簡介

1. 我們的服務價值以「資料科學」為核心，透過專業的資料整備、數據分析與應用平台開發，為政府及企業客戶提供解決方案，並實現戰略目標。

2. 我們的工作內容將經常接觸新興資訊科技、人工智慧、數據分析、資料視覺化、軟體開發(Web/App)等議題。我們期望您對這些議題具備基本認識、熱情與好奇心。

3. 我們迄今的服務遍及零售、交通、航運、電信、能源、犯罪、災防等多元範疇，並持續向新領域擴張，能不斷提供全新的學習挑戰與成長機會。

4. 初次面試時請準備簡報進行個人簡介、經驗作品集分享或其他加分項目等。


✅ 能力需求

1. 釐清客戶需求，並能轉化為數據分析任務。
2. 與BD、PM、RD等進行跨部門合作，共同規劃如何透過數據驅動解決方案。
3. 建構數據分析所需要之環境與調度資源。
4. 執行並主導資料科學範疇之相關任務，如資料ETL、特徵工程、模型建構或調校等，並對分析成果可基於統計或科學理論進行解釋與說明。

⚠️ 初次面試時請準備簡報進行個人簡介、經驗作品集分享或其他加分項目等。

✅ 薪資待遇：
面議，保障年薪14~22個月。


✅ 公司福利
1. 彈性上下班時間（10:00-18:00）
2. 不定期的員工聚餐、免費午餐、下午茶、出遊團康活動
3. 完整而多元的職涯發展及多項教育訓練補助
4. 每年定期健康檢查
5. 每年定期升遷考核與薪資調整
6. 公司的零食飲料櫃永遠補給充足，每位新進員工都保證先胖五公斤！",大學、碩士,不拘,"['Python', 'Excel', 'PowerPoint', 'Word']","(1). 熟智慧物聯、智慧零售和金融科技產業者佳。
(2). 具備數據視覺化經驗者佳。
(3). 具備資料庫分析經驗者佳。
(4). 精通統計理論相關知識，並有數據分析實際經驗。
(5). 喜歡主動閱讀國內外AI或大數據分析相關的論文、專利或相關新知者佳。
(6.) 對數據資料有敏感度且有熱情。
(7). 熟悉基礎git版本控制。
(8). 能閱讀英文文件加分。
持有經濟部能力鑑定(iPAS)證書者優先面試! BDA

"
